"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01006699",2011,"Liverpool 014A","Total",1186,20,6,0,6,14,6,4,4,0,113,69,57,4,5,3,29,15,125,76,32,13,4,58,15,15,0,43,43,0,83,47,36,31,5,224,60,87,20,44,1,9,3,264,33,32,57,141,1,194,144,50,105,105,0
"E01006700",2011,"Liverpool 012E","Total",1085,35,7,0,7,28,21,5,2,0,121,63,51,5,6,1,36,22,116,68,32,15,1,78,14,14,0,64,64,0,68,43,25,22,3,220,52,93,22,38,0,15,0,214,37,19,49,108,1,141,99,42,92,92,0
"E01006701",2011,"Liverpool 014B","Total",1111,32,9,0,9,23,13,8,2,0,135,74,61,9,3,1,34,27,149,85,41,19,4,66,22,22,0,44,44,0,105,54,51,46,5,232,64,92,12,47,0,12,5,204,24,28,50,102,0,114,78,36,74,74,0
"E01006702",2011,"Liverpool 014C","Total",1179,21,5,2,3,16,10,6,0,0,116,63,56,4,3,0,27,26,125,81,37,7,0,58,11,11,0,47,47,0,68,34,34,31,3,225,70,93,16,34,0,9,3,259,33,36,49,141,0,209,162,47,98,98,0
"E01006703",2011,"Liverpool 014D","Total",1210,21,7,0,7,14,10,3,1,0,107,61,55,3,3,0,29,17,105,70,24,6,5,49,9,9,0,40,39,1,89,52,37,33,4,269,65,115,21,49,1,14,4,272,27,40,58,146,1,208,155,53,90,90,0
"E01006705",2011,"Liverpool 009E","Total",1106,34,7,0,7,27,14,11,2,0,139,82,70,5,4,3,30,27,148,102,35,9,2,85,17,15,2,68,67,1,86,50,36,32,4,230,79,93,13,29,0,14,2,174,29,12,40,92,1,123,73,50,87,87,0
"E01006706",2011,"Liverpool 045A","Total",1010,18,5,0,5,13,4,7,1,1,84,45,34,3,8,0,22,17,95,57,26,10,2,49,17,17,0,32,32,0,80,38,42,28,14,237,83,89,13,32,0,17,3,214,43,16,45,108,2,150,115,35,83,83,0
"E01006707",2011,"Liverpool 045B","Total",935,13,4,0,4,9,4,3,2,0,82,42,37,2,2,1,27,13,77,48,18,9,2,37,8,8,0,29,29,0,85,52,33,30,3,218,68,84,15,30,1,14,6,218,25,25,58,110,0,135,99,36,70,70,0
"E01006708",2011,"Liverpool 045C","Total",1257,54,14,0,14,40,23,15,2,0,204,117,102,9,4,2,48,39,168,112,40,12,4,85,13,13,0,72,72,0,98,60,38,32,6,232,67,101,16,25,0,18,5,189,24,20,63,82,0,124,99,25,103,103,0
"E01006709",2011,"Liverpool 040A","Total",1064,54,14,0,14,40,31,7,2,0,154,90,80,7,3,0,34,30,130,79,43,6,2,75,17,17,0,58,58,0,83,53,30,25,5,201,54,99,12,22,1,10,3,179,18,21,34,105,1,97,61,36,91,91,0
"E01006710",2011,"Liverpool 045D","Total",1139,35,12,0,12,23,17,5,1,0,150,81,72,6,2,1,40,29,152,96,39,10,7,53,12,12,0,41,41,0,105,58,47,41,6,269,102,97,10,26,1,20,13,199,32,13,63,91,0,91,57,34,85,85,0
"E01006711",2011,"Liverpool 027A","Total",1138,41,14,0,14,27,14,10,3,0,197,122,111,10,1,0,48,27,150,80,49,14,7,94,22,22,0,72,72,0,83,50,33,28,5,183,60,78,7,21,1,14,2,159,30,11,48,70,0,127,79,48,104,104,0
"E01006712",2011,"Liverpool 029D","Total",949,44,7,0,7,37,22,14,0,1,176,129,107,15,6,1,22,25,148,98,41,7,2,59,14,14,0,45,45,0,78,42,36,34,2,171,41,84,10,14,1,19,2,137,22,10,41,64,0,77,49,28,59,59,0
"E01006713",2011,"Liverpool 029E","Total",994,49,13,0,13,36,17,18,1,0,184,120,108,6,4,2,37,27,183,113,46,14,10,67,21,20,1,46,46,0,65,30,35,32,3,187,57,80,7,19,0,18,6,135,17,20,37,60,1,65,41,24,59,59,0
"E01006716",2011,"Liverpool 032E","Total",1117,43,5,0,5,38,19,12,5,2,171,120,108,4,7,1,33,18,169,98,45,20,6,85,22,21,1,63,63,0,75,38,37,34,3,201,55,85,10,21,5,21,4,156,37,13,40,63,3,146,114,32,71,71,0
"E01006717",2011,"Liverpool 027D","Total",1057,72,19,0,19,53,36,15,2,0,212,135,116,12,5,2,48,29,177,110,52,11,4,76,18,17,1,58,58,0,74,30,44,41,3,177,53,63,5,26,1,21,8,115,28,5,39,43,0,57,28,29,97,97,0
"E01006718",2011,"Liverpool 027E","Total",1207,54,7,0,7,47,27,18,1,1,213,146,127,10,6,3,47,20,203,124,46,23,10,88,10,10,0,78,78,0,72,43,29,26,3,206,54,86,10,29,0,19,8,164,26,13,52,73,0,102,66,36,105,105,0
"E01006719",2011,"Liverpool 027F","Total",1109,49,12,0,12,37,18,16,1,2,190,112,96,14,1,1,46,32,195,120,57,14,4,77,14,13,1,63,63,0,70,36,34,30,4,177,53,66,17,23,0,13,5,159,24,7,45,83,0,90,51,39,102,102,0
"E01006720",2011,"Liverpool 035A","Total",1604,67,5,0,5,62,41,13,8,0,191,139,114,14,6,5,32,20,110,67,33,7,3,87,25,25,0,62,61,1,73,45,28,25,3,201,64,101,7,19,0,5,5,199,37,27,30,105,0,257,206,51,419,419,0
"E01006721",2011,"Liverpool 038C","Total",1265,51,10,0,10,41,21,16,3,1,168,117,101,9,5,2,28,23,124,71,35,15,3,63,14,14,0,49,49,0,65,39,26,18,8,221,68,91,10,26,1,20,5,149,30,15,32,71,1,173,127,46,251,251,0
"E01006722",2011,"Liverpool 038D","Total",1541,51,6,0,6,45,34,9,2,0,155,115,94,7,9,5,21,19,100,57,26,11,6,74,23,23,0,51,50,1,55,33,22,20,2,104,32,45,5,9,1,7,5,92,28,9,14,41,0,107,88,19,803,803,0
"E01006723",2011,"Liverpool 038E","Total",1639,67,7,0,7,60,38,20,2,0,163,107,92,6,6,3,36,20,131,74,49,8,0,53,12,12,0,41,41,0,64,36,28,26,2,169,54,73,9,16,0,6,11,140,21,11,34,72,2,125,83,42,727,727,0
"E01006724",2011,"Liverpool 038F","Total",1610,67,10,0,10,57,38,14,5,0,184,137,122,6,7,2,31,16,87,55,18,11,3,48,11,11,0,37,37,0,42,24,18,16,2,122,44,53,5,11,0,3,6,76,24,5,12,35,0,75,53,22,909,909,0
"E01006725",2011,"Liverpool 035B","Total",1199,73,11,0,11,62,36,21,5,0,214,138,121,3,13,1,43,33,132,78,35,17,2,63,18,18,0,45,45,0,85,51,34,33,1,200,59,98,8,18,0,14,3,162,33,10,42,74,3,133,91,42,137,137,0
"E01006726",2011,"Liverpool 035C","Total",1262,61,15,0,15,46,32,10,3,1,175,107,94,6,7,0,44,24,96,61,31,3,1,56,9,9,0,47,47,0,74,43,31,28,3,181,63,84,8,10,0,7,9,128,35,8,21,64,0,97,67,30,394,394,0
"E01006727",2011,"Liverpool 035D","Total",1157,79,12,0,12,67,42,19,3,3,228,159,130,9,17,3,48,21,143,76,47,11,9,70,12,12,0,58,58,0,86,57,29,26,3,179,71,67,7,20,0,7,7,134,24,10,34,64,2,85,57,28,153,153,0
"E01006728",2011,"Liverpool 035E","Total",1229,48,11,0,11,37,27,9,1,0,169,119,96,9,12,2,36,14,145,82,49,13,1,51,6,6,0,45,44,1,72,42,30,27,3,238,68,112,4,32,1,13,8,149,30,9,29,81,0,169,122,47,188,188,0
"E01006729",2011,"Liverpool 008C","Total",923,20,8,0,8,12,6,5,1,0,99,65,52,7,6,0,23,11,109,63,30,15,1,43,3,3,0,40,40,0,71,38,33,30,3,176,61,72,9,23,0,8,3,181,20,26,41,94,0,116,75,41,108,108,0
"E01006730",2011,"Liverpool 011C","Total",943,20,6,0,6,14,8,6,0,0,122,70,66,3,1,0,33,19,98,64,27,3,4,45,8,8,0,37,37,0,73,41,32,26,6,203,72,79,12,29,1,8,2,168,19,23,51,74,1,116,79,37,98,98,0
"E01006731",2011,"Liverpool 011D","Total",859,10,1,0,1,9,6,3,0,0,116,60,56,4,0,0,34,22,103,59,29,14,1,54,9,9,0,45,45,0,63,33,30,25,5,200,59,84,7,34,0,11,5,154,28,14,37,75,0,94,68,26,65,65,0
"E01006732",2011,"Liverpool 011E","Total",1083,17,1,0,1,16,9,6,1,0,85,48,41,2,3,2,22,15,118,61,45,10,2,39,10,10,0,29,29,0,81,50,31,25,6,244,79,93,11,35,0,22,4,219,30,31,44,114,0,163,119,44,117,117,0
"E01006734",2011,"Liverpool 005C","Total",968,18,4,0,4,14,11,1,1,1,86,56,46,4,6,0,24,6,117,57,43,16,1,41,12,12,0,29,29,0,69,38,31,27,4,220,66,98,20,23,0,10,3,203,20,23,47,113,0,124,71,53,90,90,0
"E01006735",2011,"Liverpool 005D","Total",948,19,5,0,5,14,10,3,1,0,102,68,58,7,3,0,23,11,106,63,33,10,0,46,16,16,0,30,30,0,76,46,30,27,3,194,45,69,17,44,0,15,4,195,19,33,51,92,0,125,91,34,85,85,0
"E01006736",2011,"Liverpool 005E","Total",1073,24,8,0,8,16,8,7,1,0,152,99,94,2,3,0,32,21,140,77,45,13,5,52,12,12,0,40,40,0,71,42,29,26,3,194,56,86,12,27,0,9,4,195,26,25,51,90,3,140,105,35,105,105,0
"E01006737",2011,"Liverpool 005F","Total",1048,32,7,0,7,25,14,8,1,2,104,62,53,8,0,1,19,23,109,51,38,19,1,51,7,7,0,44,44,0,72,41,31,27,4,219,71,84,11,30,1,15,7,190,26,30,38,95,1,160,128,32,111,111,0
"E01006738",2011,"Liverpool 058A","Total",1078,25,3,0,3,22,14,8,0,0,111,56,50,1,5,0,25,30,112,61,39,9,3,56,11,11,0,45,45,0,91,45,46,29,17,254,78,87,30,36,4,15,4,230,27,21,41,140,1,113,74,39,86,86,0
"E01006739",2011,"Liverpool 058B","Total",1233,22,9,0,9,13,6,7,0,0,122,75,70,1,3,1,38,9,128,71,43,10,4,51,12,12,0,39,37,2,110,61,49,29,20,287,84,122,23,28,0,18,12,234,39,21,58,115,1,181,132,49,98,98,0
"E01006740",2011,"Liverpool 057A","Total",943,24,2,0,2,22,16,3,2,1,94,54,49,5,0,0,24,16,87,45,35,6,1,37,8,8,0,29,28,1,57,29,28,23,5,215,87,72,25,23,0,6,2,203,25,16,52,107,3,153,104,49,73,73,0
"E01006741",2011,"Liverpool 058C","Total",1335,17,7,0,7,10,3,5,2,0,133,75,65,8,2,0,40,18,154,78,54,15,7,55,14,14,0,41,41,0,136,77,59,30,29,295,85,113,26,48,0,21,2,272,32,23,59,153,5,174,133,41,99,99,0
"E01006742",2011,"Liverpool 057B","Total",1056,58,12,0,12,46,27,16,3,0,193,136,120,9,6,1,36,21,135,70,51,9,5,57,8,8,0,49,49,0,88,46,42,33,9,185,41,76,20,28,0,12,8,168,25,19,44,79,1,87,62,25,85,85,0
"E01006743",2011,"Liverpool 058D","Total",1619,87,20,0,20,67,42,20,3,2,262,160,141,8,10,1,63,39,254,141,98,12,3,94,26,26,0,68,68,0,177,77,100,75,25,273,81,119,20,34,0,13,6,216,37,17,53,107,2,138,91,47,118,118,0
"E01006744",2011,"Liverpool 057C","Total",1125,71,12,0,12,59,36,19,4,0,223,156,140,8,7,1,29,38,165,88,58,15,4,66,14,14,0,52,52,0,75,42,33,27,6,228,77,85,17,29,2,16,2,150,26,7,35,79,3,80,48,32,67,67,0
"E01006745",2011,"Liverpool 057D","Total",1422,68,13,0,13,55,35,18,2,0,243,149,127,13,9,0,54,40,190,103,69,12,6,93,23,23,0,70,70,0,111,62,49,34,15,268,101,100,14,19,4,18,12,194,36,16,54,86,2,148,102,46,107,107,0
"E01006746",2011,"Liverpool 030E","Total",1209,23,4,0,4,19,13,5,1,0,103,60,51,4,5,0,22,21,69,43,19,4,3,64,20,19,1,44,44,0,56,41,15,10,5,174,36,84,15,30,3,5,1,195,32,20,27,116,0,155,120,35,370,370,0
"E01006747",2011,"Liverpool 031B","Total",3367,96,3,0,3,93,67,16,9,1,127,89,75,5,9,0,30,8,82,48,17,16,1,37,9,9,0,28,28,0,59,36,23,22,1,138,32,71,10,14,0,9,2,159,22,17,38,81,1,146,114,32,2523,2523,0
"E01006748",2011,"Liverpool 031C","Total",1701,50,6,0,6,44,36,5,3,0,114,71,59,3,9,0,29,14,78,32,30,15,1,42,7,7,0,35,35,0,66,45,21,16,5,142,43,58,7,19,1,11,3,159,26,12,27,94,0,110,73,37,940,940,0
"E01006751",2011,"Liverpool 031F","Total",2116,37,1,0,1,36,27,2,6,1,130,78,70,3,5,0,28,24,98,55,30,9,4,45,17,17,0,28,27,1,68,40,28,21,7,218,73,105,10,18,0,8,4,227,33,18,37,139,0,242,209,33,1051,1051,0
"E01006752",2011,"Liverpool 035F","Total",801,28,7,0,7,21,17,3,1,0,106,77,65,2,10,0,15,14,86,45,26,14,1,49,12,12,0,37,37,0,58,30,28,19,9,126,25,65,11,17,1,7,0,107,18,12,23,54,0,110,78,32,131,131,0
"E01006753",2011,"Liverpool 059A","Total",1090,25,11,0,11,14,8,4,2,0,98,45,37,5,2,1,35,18,110,55,46,7,2,41,4,4,0,37,36,1,100,53,47,33,14,262,76,106,23,35,1,19,2,199,24,18,35,120,2,170,125,45,85,85,0
"E01006754",2011,"Liverpool 059B","Total",1199,27,6,0,6,21,19,1,1,0,117,58,48,9,1,0,43,16,117,56,42,15,4,72,14,14,0,58,57,1,97,55,42,25,17,286,86,109,34,38,1,12,6,248,16,28,55,149,0,149,108,41,86,86,0
"E01006755",2011,"Liverpool 059C","Total",1082,18,1,0,1,17,14,3,0,0,102,55,44,6,5,0,28,19,108,60,38,9,1,54,13,13,0,41,41,0,100,64,36,26,10,249,64,108,21,31,1,23,1,190,27,10,41,112,0,188,123,65,73,73,0
"E01006756",2011,"Liverpool 059D","Total",1236,11,7,0,7,4,2,0,2,0,111,59,55,2,1,1,24,28,122,56,46,12,8,68,20,20,0,48,48,0,88,39,49,33,16,308,92,141,23,35,2,11,4,243,33,15,56,135,4,196,136,60,89,89,0
"E01006757",2011,"Liverpool 059E","Total",1027,27,9,0,9,18,10,8,0,0,88,50,45,2,2,1,24,14,86,46,28,8,4,51,10,10,0,41,41,0,82,54,28,20,8,261,90,92,27,40,0,7,5,178,21,19,40,93,5,165,123,42,89,89,0
"E01006758",2011,"Liverpool 059F","Total",1062,26,3,0,3,23,13,7,2,1,110,57,47,3,6,1,30,23,114,68,30,12,4,39,8,8,0,31,31,0,95,52,43,31,12,246,72,84,28,35,3,20,4,205,25,13,41,125,1,142,97,45,85,85,0
"E01006759",2011,"Liverpool 028D","Total",848,52,18,0,18,34,20,10,1,3,140,89,75,5,9,0,26,25,121,68,41,9,3,75,12,12,0,63,63,0,62,44,18,16,2,129,31,64,6,9,0,16,3,100,15,4,28,53,0,87,57,30,82,82,0
"E01006760",2011,"Liverpool 028E","Total",1365,61,11,0,11,50,34,10,4,2,167,126,102,13,10,1,26,15,134,74,44,13,3,101,13,13,0,88,88,0,86,54,32,28,4,207,46,104,12,27,0,14,4,190,26,18,49,94,3,246,183,63,173,173,0
"E01006761",2011,"Liverpool 020B","Total",1219,35,9,0,9,26,16,8,0,2,188,117,97,9,10,1,31,40,169,94,47,22,6,83,16,16,0,67,67,0,97,62,35,31,4,210,71,73,14,32,0,14,6,192,19,10,73,90,0,153,94,59,92,92,0
"E01006762",2011,"Liverpool 015E","Total",1231,32,10,0,10,22,13,8,1,0,145,84,71,4,9,0,38,23,168,103,42,17,6,80,16,16,0,64,64,0,79,42,37,36,1,265,84,107,14,37,0,19,4,231,38,16,60,117,0,138,89,49,93,93,0
"E01006763",2011,"Liverpool 020C","Total",1061,43,13,0,13,30,18,12,0,0,191,132,119,6,6,1,35,24,164,114,35,13,2,75,15,14,1,60,60,0,69,40,29,27,2,188,68,59,15,26,0,17,3,139,26,15,38,60,0,99,65,34,93,93,0
"E01006764",2011,"Liverpool 020D","Total",1153,50,5,0,5,45,30,9,5,1,177,129,110,10,9,0,38,10,132,78,37,13,4,73,17,17,0,56,56,0,73,46,27,25,2,196,58,92,10,21,1,13,1,190,48,13,51,77,1,136,98,38,126,126,0
"E01006765",2011,"Liverpool 020E","Total",1076,56,15,0,15,41,27,10,4,0,151,95,82,7,6,0,30,26,192,124,43,18,7,56,8,8,0,48,48,0,94,47,47,42,5,175,46,77,9,24,0,14,5,149,20,15,41,72,1,105,61,44,98,98,0
"E01006766",2011,"Liverpool 019E","Total",916,19,3,0,3,16,5,11,0,0,94,51,45,1,5,0,27,16,100,54,35,9,2,46,11,11,0,35,35,0,56,38,18,18,0,212,66,102,17,13,0,8,6,166,34,16,37,79,0,139,92,47,84,84,0
"E01006767",2011,"Liverpool 019F","Total",1316,63,13,0,13,50,32,16,2,0,187,112,102,4,6,0,43,32,169,101,53,11,4,86,16,16,0,70,69,1,96,60,36,33,3,235,61,112,12,28,0,15,7,185,26,23,40,96,0,134,72,62,161,161,0
"E01006768",2011,"Liverpool 020F","Total",1104,61,11,0,11,50,30,15,3,2,206,153,115,18,20,0,34,19,153,92,44,10,7,94,23,23,0,71,71,0,68,38,30,28,2,141,45,57,9,13,0,13,4,124,20,6,37,59,2,152,102,50,105,105,0
"E01006769",2011,"Liverpool 040B","Total",894,28,9,0,9,19,7,11,1,0,112,61,54,5,1,1,32,19,110,68,25,10,7,48,11,11,0,37,37,0,84,40,44,36,8,176,54,70,11,30,0,9,2,179,24,13,44,98,0,102,71,31,55,55,0
"E01006770",2011,"Liverpool 040C","Total",712,17,6,0,6,11,6,4,1,0,85,52,44,6,2,0,21,12,89,50,25,7,7,42,7,7,0,35,35,0,60,41,19,18,1,162,57,62,11,17,0,6,9,129,18,8,34,68,1,77,55,22,51,51,0
"E01006771",2011,"Liverpool 040D","Total",1049,24,12,0,12,12,6,5,0,1,115,66,59,5,2,0,28,21,106,58,27,18,3,52,10,10,0,42,42,0,92,66,26,21,5,238,90,85,16,27,0,18,2,201,22,36,52,90,1,125,86,39,96,96,0
"E01006772",2011,"Liverpool 040E","Total",820,49,11,1,10,38,22,12,3,1,135,75,60,7,8,0,37,23,103,63,27,4,9,62,10,10,0,52,51,1,66,26,40,34,6,144,52,53,10,17,0,8,4,129,21,16,41,51,0,68,56,12,64,64,0
"E01006773",2011,"Liverpool 036D","Total",1049,92,19,0,19,73,35,31,6,1,229,145,127,6,11,1,49,35,212,138,50,14,10,70,18,18,0,52,52,0,60,26,34,29,5,149,50,54,9,17,0,10,9,118,23,10,40,45,0,40,25,15,79,79,0
"E01006774",2011,"Liverpool 036E","Total",1082,126,24,0,24,102,61,31,10,0,248,173,142,21,9,1,48,27,179,117,40,18,4,80,19,19,0,61,60,1,70,45,25,22,3,133,48,38,7,13,0,16,11,89,15,7,29,38,0,39,21,18,118,118,0
"E01006775",2011,"Liverpool 040F","Total",986,12,8,0,8,4,1,3,0,0,92,51,46,5,0,0,26,15,115,61,41,13,0,47,9,9,0,38,38,0,80,45,35,29,6,227,82,88,10,34,2,10,1,182,36,16,40,88,2,151,114,37,80,80,0
"E01006776",2011,"Liverpool 022B","Total",1271,72,13,0,13,59,39,16,4,0,171,109,93,8,6,2,41,21,158,102,39,12,5,77,26,26,0,51,51,0,83,45,38,33,5,206,42,83,11,50,0,17,3,242,26,14,61,140,1,161,136,25,101,101,0
"E01006778",2011,"Liverpool 014E","Total",1758,39,9,0,9,30,18,10,1,1,187,103,81,14,5,3,49,35,159,97,47,10,5,83,26,26,0,57,57,0,139,92,47,40,7,333,99,123,22,62,0,22,5,356,35,41,71,208,1,301,225,76,161,161,0
"E01006779",2011,"Liverpool 022D","Total",1417,28,5,0,5,23,17,6,0,0,111,74,65,5,3,1,25,12,170,90,62,13,5,55,18,18,0,37,37,0,84,52,32,28,4,256,62,111,15,54,1,8,5,338,45,35,47,210,1,252,200,52,123,123,0
"E01006780",2011,"Liverpool 002D","Total",1085,39,7,0,7,32,17,12,1,2,236,132,113,12,7,0,58,46,212,128,57,22,5,90,21,21,0,69,69,0,82,45,37,32,5,187,62,60,9,32,0,15,9,122,19,13,36,53,1,42,24,18,75,75,0
"E01006781",2011,"Liverpool 003A","Total",1160,83,26,0,26,57,28,23,5,1,237,152,130,12,10,0,50,35,213,142,55,16,0,87,23,23,0,64,64,0,95,53,42,37,5,178,55,72,10,22,0,16,3,122,14,16,45,46,1,49,31,18,96,96,0
"E01006782",2011,"Liverpool 003B","Total",1189,63,18,0,18,45,21,22,2,0,204,126,103,7,15,1,49,29,216,130,65,17,4,61,14,14,0,47,47,0,102,60,42,40,2,198,62,73,14,27,0,18,4,145,12,15,50,66,2,96,54,42,104,104,0
"E01006783",2011,"Liverpool 002E","Total",1138,46,15,0,15,31,15,13,3,0,196,126,111,7,7,1,38,32,214,141,54,16,3,56,15,15,0,41,41,0,93,58,35,33,2,226,69,78,17,37,1,18,6,140,20,19,44,56,1,81,48,33,86,86,0
"E01006784",2011,"Liverpool 003C","Total",1028,54,10,0,10,44,28,14,2,0,221,140,118,12,9,1,50,31,200,128,46,16,10,66,7,7,0,59,59,0,67,37,30,28,2,172,67,60,10,17,0,12,6,114,19,9,39,46,1,54,32,22,80,80,0
"E01006785",2011,"Liverpool 003D","Total",1310,77,17,0,17,60,28,28,3,1,229,140,115,14,9,2,52,37,223,149,52,18,4,90,25,25,0,65,64,1,88,50,38,35,3,208,42,91,23,35,0,12,5,178,23,24,53,78,0,112,58,54,105,105,0
"E01006786",2011,"Liverpool 003E","Total",1337,76,24,0,24,52,18,29,3,2,251,153,122,22,8,1,56,42,287,200,69,12,6,91,20,19,1,71,71,0,102,46,56,49,7,219,63,75,14,32,0,27,8,153,18,18,52,65,0,71,44,27,87,87,0
"E01006787",2011,"Liverpool 006A","Total",1987,55,15,0,15,40,22,14,4,0,217,136,115,8,11,2,43,38,182,109,45,10,18,182,47,46,1,135,129,6,154,79,75,69,6,257,59,111,33,40,0,10,4,447,30,58,131,224,4,328,267,61,165,165,0
"E01006788",2011,"Liverpool 006B","Total",1299,75,21,0,21,54,29,22,3,0,223,141,108,16,16,1,43,39,236,155,59,17,5,79,12,12,0,67,65,2,97,49,48,44,4,237,80,61,22,52,0,15,7,158,29,14,51,63,1,89,54,35,105,105,0
"E01006790",2011,"Liverpool 006C","Total",1183,30,4,0,4,26,16,10,0,0,132,80,75,2,2,1,32,20,135,91,29,12,3,67,13,12,1,54,54,0,80,48,32,29,3,238,57,111,15,36,1,15,3,233,30,23,54,125,1,157,101,56,111,111,0
"E01006791",2011,"Liverpool 006D","Total",1280,27,7,0,7,20,13,7,0,0,146,94,87,3,3,1,34,18,141,72,47,18,4,80,13,13,0,67,67,0,95,53,42,28,14,240,55,90,31,41,0,19,4,301,30,34,74,162,1,166,111,55,84,84,0
"E01006792",2011,"Liverpool 046A","Total",964,188,28,0,28,160,86,29,40,5,271,188,148,19,18,3,48,35,143,89,38,14,2,108,40,40,0,68,68,0,45,21,24,23,1,83,33,24,1,3,0,17,5,35,10,2,12,11,0,25,19,6,66,66,0
"E01006793",2011,"Liverpool 051A","Total",1070,149,40,0,40,109,74,18,15,2,241,160,136,11,12,1,46,35,146,90,33,18,5,96,26,26,0,70,70,0,69,43,26,22,4,119,31,51,11,12,0,10,4,93,15,15,26,37,0,72,38,34,85,85,0
"E01006794",2011,"Liverpool 046B","Total",1196,200,40,1,39,160,92,35,27,6,342,232,177,17,29,9,69,41,163,106,45,10,2,123,45,44,1,78,78,0,53,29,24,18,6,106,37,31,5,7,1,21,4,63,20,6,16,20,1,64,40,24,82,82,0
"E01006795",2011,"Liverpool 051B","Total",1052,184,30,0,30,154,87,33,30,4,294,196,168,16,9,3,53,45,160,93,53,12,2,82,29,29,0,53,53,0,56,20,36,33,3,87,26,27,5,14,0,11,4,71,14,8,22,25,2,35,20,15,83,83,0
"E01006796",2011,"Liverpool 047E","Total",1166,263,42,0,42,221,127,25,64,5,345,227,187,12,26,2,86,32,130,94,24,8,4,139,57,56,1,82,82,0,29,16,13,12,1,69,27,18,2,8,0,12,2,38,16,4,10,8,0,35,25,10,118,118,0
"E01006797",2011,"Liverpool 051C","Total",1099,58,12,1,11,46,24,15,7,0,197,126,110,10,5,1,41,30,169,103,43,17,6,80,30,30,0,50,49,1,79,43,36,25,11,184,66,66,12,22,3,13,2,143,27,8,43,64,1,95,62,33,94,94,0
"E01006798",2011,"Liverpool 051D","Total",1071,141,26,0,26,115,61,34,19,1,286,191,153,18,15,5,58,37,180,116,45,10,9,81,20,20,0,61,60,1,59,31,28,20,8,132,53,34,7,16,0,18,4,78,24,4,27,22,1,37,24,13,77,77,0
"E01006799",2011,"Liverpool 051E","Total",1294,135,20,1,19,115,75,24,15,1,282,186,148,17,19,2,61,35,171,104,50,16,1,117,29,29,0,88,88,0,85,53,32,32,0,200,50,97,6,23,0,17,7,169,12,17,60,80,0,76,56,20,59,59,0
